SiteID,sinu,upland,scrub,wetland,Dec_long,Dec_lat,hist_fire,current_fire
486,1.0847619,1,0,0,-86.32212,30.7025,3.333333333,4
488,1.126841316,0.685185185,0.018518519,0.296296296,-86.71001,30.46969,4,4
489,1,0.740740741,0.055555556,0.148148148,-86.83659,30.44287,4,3
490,1.012033231,0.810810811,0.081081081,0.027027027,-86.90505,30.46878,10,0
495,1.095942343,0.410714286,0.375,0.071428571,-86.82012026,30.47188126,1.176470588,8
496,1.069566789,0.660714286,0.107142857,0.214285714,-86.88818,30.47234,10,0
497,1.074831375,0.703703704,0.185185185,0.074074074,-86.87473,30.47332,10,0
524,1.050802526,0.888888889,0.018518519,0.092592593,-86.8175783,30.603125,3.333333333,4
525,1,0.345454545,0.6,0,-86.726229,30.493243,2,5
526,1,0.407407407,0.518518519,0,-86.728014,30.490921,2,5
